id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,sum,sum_organic,sum_inorganic,sum_Phosphotransferase,sum_Transporters,sum_Two_component,occP_1_2,labP,orgP,secP_1_2,totP
SRR10360609,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.24545535,-1.964743778,-2.204987026,-0.878253155,-5.928614465,-3.268856928,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360610,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-15.77973386,-1.960216328,-2.368713811,-0.973240457,-7.093448708,-3.384114557,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360611,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-15.29928145,-1.863593603,-2.231010028,-0.871830019,-6.961775438,-3.371072363,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360612,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.10512187,-1.997245713,-1.909885155,-0.595475058,-5.464221609,-3.138294333,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360613,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-11.91462111,-1.749559612,-1.694326454,-0.751043519,-4.633933395,-3.08575813,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360614,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-15.70214033,-2.055003475,-2.39733459,-0.722962224,-6.994091736,-3.532748309,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360615,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-18.6661406,-1.805935098,-3.123097447,-0.927916286,-9.268600326,-3.540591443,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360616,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-16.45455397,-1.944722917,-2.665813432,-0.910834912,-7.460807938,-3.47237477,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360617,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.33604679,-1.381778947,-2.373910865,-0.985071146,-5.338265351,-3.257020479,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360618,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-15.96918898,-1.994571572,-2.604676204,-0.863955844,-7.231212581,-3.27477278,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360619,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.97988195,-1.44480858,-2.747396231,-0.896969159,-7.03194953,-2.858758453,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360620,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.37198342,-1.281352213,-2.132323079,-0.825183251,-6.573154439,-2.559970443,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360621,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-12.91398295,-1.915294337,-1.980983866,-0.857933411,-4.954972525,-3.204798816,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360622,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.37519627,-1.115922867,-2.64985783,-0.869694584,-6.692360433,-3.047360561,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
