,lon,lat_weidu,BIOME_1_2,ABS_lat,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,soc_0.30_mean,GDP_per_capita_PPP2005,Human_development_index2005,Annual_mean_moisture_index_2,anthropogenic_biome_2,Aridity_index_2,CN30cm_1_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,nfertilizer_global_2,occP_1_2,totP,labP,orgP,pfertilizer_global_2,Potential_evapotranspiration_annual_2,secP_1_2,SMC30cm_1_2,SMN30cm_1_2,wc2.1_2.5m_elev_2,bdod_0_30cm_mean,cfvo_0_30cm_mean,clay_0_30cm_mean,ocd_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,human_footprint_3,travel_time_to_cities_min,prec,srad,tavg,tmax,tmin,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters
SRR10028497,103.3426111,-2.18755552,106,2.18755552,167.0193787,208.322436,46.38034693,866.1636963,8137.249023,0.696685433,1.256715417,52,17876,16.8870182,50.79838943,7,1,0.204179585,10.17800045,103.9856186,206.9999847,14.29995537,54.27410507,1.485000014,1503,27.64960861,90.8812027,5.381720066,63,111.6800893,89.326533,436.006602,315.6257629,255.2409007,308.9029439,2,146.1584473,224.5341231,16705.33333,26.27278455,29.9900314,22.55695407,-1.714449645,-0.433102498,-0.191013461,-0.259279385,0.09805227,-0.92910657
SRR10028498,103.3327222,-2.17502776,106,2.17502776,162.7811127,207.7400462,46.60900116,973.6903687,8137.249023,0.696685433,1.276941657,51,17969,16.8870182,50.79838943,4,1,0.198812887,10.17800045,103.9856186,206.9999847,14.29995537,54.27410507,1.485000014,1500,27.64960861,90.8812027,5.381720066,81,110.5582759,98.56768545,407.8991597,319.0052439,269.689799,322.4110311,2,144.0758514,224.5341231,16661,26.27278455,29.9900314,22.55695407,-1.827896765,-0.423544468,-0.186252012,-0.26602944,0.081621733,-1.033692579
SRR10028499,103.33375,-2.15816664,106,2.15816664,155.6607615,223.0822449,46.43401718,755.5853271,8137.249023,0.696685433,1.256263137,34,17899,16.8870182,50.79838943,4,1,0.204651818,10.17800045,103.9856186,206.9999847,14.29995537,54.27410507,1.485000014,1499,27.64960861,90.8812027,5.381720066,66,109.5061951,41.68780772,425.1965434,315.0670878,281.668925,292.986084,2,141.0461578,224.5341231,16690.08333,26.27278455,29.9900314,22.55695407,-2.025811107,-0.376667808,-0.022556328,-0.254848903,-0.101649163,-1.270088905
SRR10028500,103.3504167,-2.15275,106,2.15275,163.4217377,219.9295146,47.52008184,725.489502,8137.249023,0.696685433,1.256263137,34,17825,16.8870182,50.79838943,4,1,0.209144726,10.17800045,103.9856186,206.9999847,14.29995537,54.27410507,1.485000014,1500,27.64960861,90.8812027,5.381720066,66,109.7137629,61.87122218,422.9132894,328.2527212,275.6843058,301.7347819,2.243607998,138.7109528,223.7868811,16690.08333,26.30594571,30.02740733,22.58623743,-1.989795176,-0.36627398,-0.021051115,-0.246922323,-0.094600301,-1.260947456
SRR10028501,102.7731989,-2.07725898,111,2.07725898,158.2281342,200.5806986,45.60375468,820.9211426,8137.249023,0.700737298,1.341555953,32,19286,5.32595396,48.50611877,21,1,0.214310318,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1518,27.64960861,46.09970093,8.655670166,50,112.4218038,55.87200165,393.0425008,296.8627625,338.1368917,269.1476949,14.0422678,99.59295654,243.6968206,16546.91667,26.36761157,30.2173535,22.51710828,-1.229986774,-0.173624138,-0.27712108,-0.294687777,-0.257845538,-0.226708241
SRR10028502,102.7832653,-2.0960072,111,2.0960072,150.3607229,207.7898407,46.30496089,622.4057617,8137.249023,0.700737298,1.341555953,26,19324,5.32595396,48.50612259,21,1,0.211706758,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1517,27.64960861,46.09970093,8.655670166,49,111.4902318,17.56960583,413.5172119,299.813446,327.0104065,259.4212748,13.38399601,88.20494843,243.6968206,16551,26.36761157,30.2173535,22.51710828,-1.346400323,-0.175746816,-0.211500909,-0.297619161,-0.326182551,-0.335350886
SRR10028503,102.7895367,-2.08533922,111,2.08533922,159.0674998,207.1075439,45.28591156,706.6654053,8137.249023,0.700737298,1.341555953,26,19281,5.32595396,48.50611877,21,1,0.208801761,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1514,27.64960861,46.09970093,8.655670166,49,111.2448959,26.12816556,419.7575277,303.249705,321.1689148,258.9534861,12.3694973,85.12479401,243.6968206,16551,26.36761157,30.2173535,22.51710828,-1.394011445,-0.199899561,-0.192921201,-0.299688103,-0.322714102,-0.378788479
SRR10028504,102.8030459,-2.09240667,111,2.09240667,141.6234436,201.138031,47.85430145,776.1762085,8137.249023,0.700737298,1.341555953,26,19270,5.32595396,48.50611877,21,1,0.207383618,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1514,27.64960861,46.09970093,8.655670166,54,115.9721756,28.68100929,368.7699178,283.6500142,345.5255025,285.8563843,8.349362373,88.15233612,243.6968206,16548.5,26.36761157,30.2173535,22.51710828,-1.522471497,-0.284208233,-0.10377998,-0.287919546,-0.287717089,-0.55884665
SRR10028505,102.81531,-2.07392,111,2.07392,128.1138967,197.4230016,45.17925644,538.1223755,8137.249023,0.700737298,1.341555953,32,19065,5.32595396,48.50611877,26,1,0.204351097,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1517,27.64960861,46.09970093,8.655670166,64,111.4896342,24.99503263,383.3129883,285.9658915,348.916331,267.7706604,11,119.6970215,242.1292534,16550.25,26.37135537,30.22134145,22.52029721,-1.276665023,-0.271026328,-0.230477352,-0.309463725,-0.260165335,-0.205532283
SRR10028506,102.753405,-2.05046312,111,2.05046312,130.6222865,211.1148783,45.63353221,767.9533691,8137.249023,0.700737298,1.341555953,32,19242,5.32595396,48.50611877,18,1,0.20537968,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1519,27.64960861,46.09970093,8.655670166,50,113.2598445,28.27122625,401.1885986,299.6293793,329.2423401,269.690094,18.62620354,106.6548691,244.074159,16546.91667,26.36146927,30.20665439,22.51327705,-1.218526458,-0.076843219,-0.391364513,-0.32490887,-0.313340617,-0.112069239
