sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10260007,11265.08105,31,8.768597603,26,1,0.486362755,2.559000015,11.20797825,-46.10381317,-9.470460834,-1.039700384,-1.862331923,0.717098903,-4.874631322,-2.410896108,0.353298082,0.002524928,0.166290101,0.205258677,0.323577955,-0.344353578,46.10381317
SRR10260008,16530.91211,51,2.748090744,11,4,0.202136159,0.023,2,-60.32738876,-10.13470038,-2.093338154,-0.718219921,-0.556009773,-5.456183309,-1.310949227,-1.312758386,-0.32108625,-0.063297702,-0.196521436,0.032868105,-0.764721104,60.32738876
SRR10260009,6537.248047,51,64.35453796,18,3,0.38670066,1.687999964,6,-15.50889683,-8.243203747,-1.947792787,1.249553358,-1.13476758,-4.243417133,-2.166779604,0.041801857,-0.164236253,0.068165548,0.098951407,0.414098534,-0.37517738,15.50889683
SRR10260010,6537.248047,32,175.4371185,22,3,0.268405765,5.046000004,14.43732357,-0.977399707,-1.781232467,-1.793963692,-1.158973355,-0.334541499,3.850384761,-2.344138682,-0.905154419,-0.287542716,-0.241311731,-0.254414127,-0.095313382,-0.026572463,0.977399707
SRR10260011,31040.42773,32,166.0698853,18,2,0.733433604,19.82999992,47.89492035,-28958.66406,-9.327858895,-1.477018845,-1.255721568,0.20487691,-5.253092713,-1.546902679,-5.161915178,-0.832787071,-1.251700972,0.378844732,1.0572303,-4.513502166,28958.66406
SRR10260012,21194.58984,21,1935.449585,22,2,0.789899111,36.07099915,18.1624012,0,-5.692248636,-1.873210647,-1.485508442,3.833938729,-4.639912759,-1.527555516,-0.657894382,-1.28080991,-0.425679845,-0.071903075,1.188047823,-0.067549376,0
SRR10360602,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-8.578966315,-0.098765954,-1.506277208,-0.133931982,-4.846539223,-1.993451948,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360603,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-15.86497902,-2.077817899,-2.889055004,-0.676253532,-6.979194198,-3.242658388,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360604,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-15.92694594,-0.912654731,-2.666878436,-0.826797938,-7.954007308,-3.566607526,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360605,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-13.61250307,-0.017480943,-2.479369947,-0.796115941,-7.407686601,-2.911849644,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360606,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-10.49219926,-1.072604425,-1.839405362,-0.716843122,-3.901208405,-2.962137952,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360607,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-11.14168985,-1.208646674,-1.891216803,-0.706152878,-4.395649322,-2.940024176,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
